万小军
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,3682,,,,,,
星期二,,3695,,,,3695,,,
星期三,,3682,,3695,,,,,
星期四,,3695,,3682,,,,,
星期五,,,,,,,,,
星期六,,,3695,3682,,,,,
星期日,3682,,,3695,,,,,
万志文
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3695,,,,,,,,
星期二,,,,,,,,,
星期三,,,,,3695,,,,
星期四,,,,,,,,,
星期五,,,,,,,3695,,
星期六,,,,,,,,3695,
星期日,,,,,,3695,,,
余堂洲
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3697,,,,3692,,,3692,
星期二,,,3692,3697,,,,,
星期三,,,,,,3697,,,
星期四,,,,,,,,3692,
星期五,,3697,3692,,,,,,
星期六,,,,,,,,3692,
星期日,,,,,,3697,,,
余芬
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3683,,,,3690,,,,
星期二,,,,,3690,,,,
星期三,,,,,,,,3683,
星期四,,,3690,,,,3683,,
星期五,,,,,,,,,
星期六,,3690,,,,,,3683,
星期日,3683,,,,3690,,,,
余莉（大）
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3680,3682,,,,,,,
星期二,,,,,,,3682,3680,
星期三,,,,,,,,3680,
星期四,,,3682,,,,,3680,
星期五,,,3680,,,3682,,,
星期六,,,,,3680,,,,
星期日,,,,,,,,3682,
余莉（小）
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,,,,,,,
星期二,,,,3686,,,,,
星期三,,,,3686,,,,,
星期四,,,,,,,,,
星期五,,,,3686,,,,,
星期六,,,,3686,,,,,
星期日,,3686,,,,,,,
冯平
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,3688,,,,,,,
星期二,,,,3688,,,,,
星期三,,,,,,,,,
星期四,,,,,,3688,,,
星期五,3688,,,,,,,,
星期六,,,,,,,,,
星期日,,,,,3688,,,,
刘亚东
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,3683,,3691,,,,,
星期二,,3683,,3691,,,,,
星期三,,,3683,3691,,,,,
星期四,,,,,,,,,
星期五,,,3691,3683,,,,,
星期六,,,,,,,,,
星期日,,,3691,3683,,,,,
刘喜云
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,,,,,,,
星期二,,,3687,,,,3688,,
星期三,,,,,,3688,,3687,
星期四,,,3688,,,3687,,,
星期五,,,,,,,,,
星期六,3687,,,,,,3688,,
星期日,,,,,,,3687,3688,
刘巧梅
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3681,3692,,,,,,,
星期二,,3681,,3692,,,,,
星期三,,,,,,,,,
星期四,3692,,,3681,,,,,
星期五,,3681,,3692,,,,,
星期六,,3681,3681,,,,,,
星期日,3692,3692,,,,,,,
刘花
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,3696,,3695,,,,,
星期二,3696,,,,,,,,
星期三,,,3695,,,,,,
星期四,3696,,3695,,,,,,
星期五,3695,,3696,,,,,,
星期六,3695,,,3696,,,,,
星期日,,,,,,,,,
叶传鑫
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,,3696,,,,,
星期二,3690,,,,,3696,,,
星期三,,,3696,3690,,,,,
星期四,3690,3696,,,,,,,
星期五,3696,,,3690,,,,,
星期六,,,,,,,,,
星期日,,3696,3690,,,,,,
吴敏
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,3699,,,,,,,
星期二,,3699,,,,,,,
星期三,,3699,3699,,,,,,
星期四,,,3699,,,,,,
星期五,,,,3699,,,,,
星期六,,,,,,,,,
星期日,,,,,,,,,
吴能文
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,,,,,,,
星期二,,,,,,,,,
星期三,3693,,,,,,,,
星期四,,,,3693,,,,,
星期五,,,3693,,,,,,
星期六,,,,3693,,,,,
星期日,,3693,,,,,,,
周四林
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,,,,,,,
星期二,,3686,,,,,,3691,
星期三,,3691,,,,,3686,,
星期四,,,,,,,,,
星期五,,3686,,,3691,,,,
星期六,,,3691,,,,3686,,
星期日,,,,,3686,,3691,,
周洁
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,,,,,,,,
星期二,,,,3689,,,,,
星期三,3689,,,,,,,,
星期四,,3689,,,,,,,
星期五,,,3689,,,,,,
星期六,,,3689,,,,,,
星期日,,,,,,,,,
夏超
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3694,3694,3693,,,,,,
星期二,3693,,,,,,,3694,
星期三,,,,,,,,,
星期四,3693,,,,,,,3694,
星期五,3693,,,,3694,,,,
星期六,,,,,,,,,
星期日,,,,,,3693,3694,,
夏鄂华
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,3682,3690,,3682,,,,,
星期二,,,3682,,,,,,
星期三,,3690,,,,,,,
星期四,,,,3690,,,,,
星期五,,,,3682,,,,,
星期六,3682,,3690,,,,,,
星期日,,,3682,3690,,,,,
姚远军
,第一节,第二节,第三节,第四节,第五节,第六节,第七节,第八节,
星期一,,3698,,,,,,,
星期二,,,,,,,,3698,
星期三,3698,,,,,,,,
星期四,,,,,,,,,
